LAT,LON,YEAR,MO,DY,T2M_RANGE,ALLSKY_SFC_SW_DWN
33.42011,-112.04149,2000,11,7,13.63,4.64
33.42011,-112.04149,2000,11,8,13.99,4.56
33.42011,-112.04149,2000,11,9,16.36,4.49
33.42011,-112.04149,2000,11,10,8.48,2.74
33.42011,-112.04149,2000,11,11,9.82,3.15
33.42011,-112.04149,2000,11,12,13.03,4.32
33.42011,-112.04149,2000,11,13,17.15,4.24
33.42011,-112.04149,2000,11,14,13.6,3.08
33.42011,-112.04149,2000,11,15,13.29,4.17
33.42011,-112.04149,2000,11,16,13.8,4.1
33.42011,-112.04149,2000,11,17,15.73,3.99
33.42011,-112.04149,2000,11,18,15.06,4.18
33.42011,-112.04149,2000,11,19,19.62,4.14
33.42011,-112.04149,2000,11,20,20.6,3.7
33.42011,-112.04149,2000,11,21,8.98,2.15
33.42011,-112.04149,2000,11,22,13.89,3.85
33.42011,-112.04149,2000,11,23,15.17,3.87
33.42011,-112.04149,2000,11,24,15.33,3.11
33.42011,-112.04149,2000,11,25,17.24,3.8
33.42011,-112.04149,2000,11,26,17.98,3.91
33.42011,-112.04149,2000,11,27,17.07,3.37
33.42011,-112.04149,2000,11,28,15.31,3.66
33.42011,-112.04149,2000,11,29,16.92,3.63
33.42011,-112.04149,2000,11,30,16.05,3.02
33.42011,-112.04149,2000,12,1,14.44,2.59
33.42011,-112.04149,2000,12,2,12.02,2.83
33.42011,-112.04149,2000,12,3,15.07,3.65
33.42011,-112.04149,2000,12,4,16.03,3.38
33.42011,-112.04149,2000,12,5,13.92,3.53
33.42011,-112.04149,2000,12,6,15.41,2.73
33.42011,-112.04149,2000,12,7,13.64,2.71
33.42011,-112.04149,2000,12,8,14.09,3.54
33.42011,-112.04149,2000,12,9,12.79,2.71
33.42011,-112.04149,2000,12,10,7.36,2.1
33.42011,-112.04149,2000,12,11,13.51,3.48
33.42011,-112.04149,2000,12,12,12.36,2.43
33.42011,-112.04149,2000,12,13,13.19,3.5
33.42011,-112.04149,2000,12,14,13.55,3.43
33.42011,-112.04149,2000,12,15,11.88,3.34
33.42011,-112.04149,2000,12,16,17.51,3.59
33.42011,-112.04149,2000,12,17,17.94,3.42
33.42011,-112.04149,2000,12,18,16.77,3.64
33.42011,-112.04149,2000,12,19,15.45,3.05
33.42011,-112.04149,2000,12,20,15.76,3.29
33.42011,-112.04149,2000,12,21,17.02,3.47
33.42011,-112.04149,2000,12,22,16.68,3.44
33.42011,-112.04149,2000,12,23,17.46,3.13
33.42011,-112.04149,2000,12,24,14.62,3.14
33.42011,-112.04149,2000,12,25,11.91,3.33
33.42011,-112.04149,2000,12,26,13.89,3.51
33.42011,-112.04149,2000,12,27,14.78,3.55
33.42011,-112.04149,2000,12,28,17.63,3.57
33.42011,-112.04149,2000,12,29,17.58,3.49
33.42011,-112.04149,2000,12,30,16.95,3.42
33.42011,-112.04149,2000,12,31,16.03,3.31
33.42011,-112.04149,2001,1,1,11.82,2.66
33.42011,-112.04149,2001,1,2,18.46,3.15
33.42011,-112.04149,2001,1,3,16.78,3.39
33.42011,-112.04149,2001,1,4,17.76,3.16
33.42011,-112.04149,2001,1,5,14.99,2.3
33.42011,-112.04149,2001,1,6,9.74,3.37
33.42011,-112.04149,2001,1,7,14.94,3.42
33.42011,-112.04149,2001,1,8,13.82,2.79
33.42011,-112.04149,2001,1,9,8.72,2.45
33.42011,-112.04149,2001,1,10,12.82,3.28
33.42011,-112.04149,2001,1,11,14.99,2.03
33.42011,-112.04149,2001,1,12,6.12,2.25
33.42011,-112.04149,2001,1,13,11.31,3.08
33.42011,-112.04149,2001,1,14,13.81,3.55
33.42011,-112.04149,2001,1,15,11.64,1.96
33.42011,-112.04149,2001,1,16,7.13,2.77
33.42011,-112.04149,2001,1,17,11.18,3.56
33.42011,-112.04149,2001,1,18,14.98,3.99
33.42011,-112.04149,2001,1,19,15.98,3.61
33.42011,-112.04149,2001,1,20,14.44,4.11
33.42011,-112.04149,2001,1,21,19.66,3.92
33.42011,-112.04149,2001,1,22,14.77,3.7
33.42011,-112.04149,2001,1,23,13.64,4.2
33.42011,-112.04149,2001,1,24,17,4.15
33.42011,-112.04149,2001,1,25,12.45,4.29
33.42011,-112.04149,2001,1,26,12.12,2.29
33.42011,-112.04149,2001,1,27,5.03,1.59
33.42011,-112.04149,2001,1,28,8.42,1.58
33.42011,-112.04149,2001,1,29,13.51,4.13
33.42011,-112.04149,2001,1,30,12.4,4.52
33.42011,-112.04149,2001,1,31,12.37,3.34
33.42011,-112.04149,2001,2,1,18.24,3.87
33.42011,-112.04149,2001,2,2,17.71,3.99
33.42011,-112.04149,2001,2,3,19.52,4.11
33.42011,-112.04149,2001,2,4,21.09,4.38
33.42011,-112.04149,2001,2,5,18.94,4.51
33.42011,-112.04149,2001,2,6,16.7,4.08
33.42011,-112.04149,2001,2,7,12.89,4.31
33.42011,-112.04149,2001,2,8,7.94,3.56
33.42011,-112.04149,2001,2,9,15.49,4.59
33.42011,-112.04149,2001,2,10,17.22,4.27
33.42011,-112.04149,2001,2,11,14.82,4.56
33.42011,-112.04149,2001,2,12,16.54,4.68
33.42011,-112.04149,2001,2,13,11.72,1.89
33.42011,-112.04149,2001,2,14,8.99,3.33
33.42011,-112.04149,2001,2,15,12.72,5.05
33.42011,-112.04149,2001,2,16,14.98,4.62
33.42011,-112.04149,2001,2,17,17.2,2.56
33.42011,-112.04149,2001,2,18,15.97,5.09
33.42011,-112.04149,2001,2,19,16.92,4.5
33.42011,-112.04149,2001,2,20,12.97,4.98
33.42011,-112.04149,2001,2,21,15.22,5.42
33.42011,-112.04149,2001,2,22,13.6,4.95
33.42011,-112.04149,2001,2,23,9.76,4.69
33.42011,-112.04149,2001,2,24,13.92,4.27
33.42011,-112.04149,2001,2,25,8.1,3.21
33.42011,-112.04149,2001,2,26,13.2,2.5
33.42011,-112.04149,2001,2,27,15.36,2.24
33.42011,-112.04149,2001,2,28,8.13,2.9
33.42011,-112.04149,2001,3,1,12.39,4.16
33.42011,-112.04149,2001,3,2,15.02,4.74
33.42011,-112.04149,2001,3,3,14.33,5.15
33.42011,-112.04149,2001,3,4,16.83,4.42
33.42011,-112.04149,2001,3,5,13.28,3.72
